,movie_id,movie_title,overview,popularity,rating,tagline,runtime,revenue,release_date,vote_count,budget,genres,production_companies
322,285,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",101.2,7.24,"At the end of the world, the adventure begins.",169,961000000,2007-05-19,13244,300000000,"['Adventure', 'Fantasy', 'Action']","['Jerry Bruckheimer Films', 'Second Mate Productions', 'Walt Disney Pictures']"
323,345887,The Equalizer 2,"Robert McCall, who serves an unflinching justice for the exploited and oppressed, embarks on a relentless, globe-trotting quest for vengeance when a long-time girl friend is murdered.",87.94,6.7,There is no equal.,121,190400157,2018-07-19,4557,62000000,"['Action', 'Thriller', 'Crime']","['Lonetree Entertainment', 'Fuqua Films', 'Escape Artists', 'Sony Pictures', 'ZHIV Productions', 'Mace Neufeld Productions', 'Columbia Pictures']"
324,1726,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",87.5,7.64,Heroes aren't born. They're built.,126,585174222,2008-04-30,24751,140000000,"['Action', 'Science Fiction', 'Adventure']",['Marvel Studios']
325,1162442,Rock the Boat,"Ten years after the devastating loss of her family, Millie is horrified when her friends start dying one by one. Could these recent deaths be connected to her tragic past?",54.0,0.0,,91,0,2023-08-17,0,0,"['Thriller', 'Mystery']",[]
326,3134,Baise-moi,"Manu has lived a difficult life. Abused and violently raped, she sets off to find herself only to meet Nadine, a prostitute who has encountered one too many injustices in the world. Angry at the world, they embark on a twisted, rage-filled road trip. They choose to have sex when they please and kill when they need. Leaving a trail of mischief and dead bodies in their wake. Generating a media blitz and manhunt, soon everyone is out to capture the young fugitives.",94.7,4.844,Art or Pornography? You be the judge! Complete and Uncut the most controversial film of all time...A hard-core Thelma & Louise,77,940944,2000-06-28,377,0,"['Crime', 'Drama', 'Romance', 'Thriller']","['Toute Premiere Fois', 'Pan Européenne Productions', 'Canal+']"
327,399566,Godzilla vs. Kong,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",111.56,7.664,One Will Fall,114,470116094,2021-03-24,9016,200000000,"['Action', 'Science Fiction', 'Thriller']",['Legendary Pictures']
328,820232,鬼滅の刃 兄妹の絆,"Tanjiro finds his family slaughtered and the lone survivor, his sister Nezuko Kamado, turned into a Demon. To his surprise, however, Nezuko still shows signs of human emotion and thought. Thus begins Tanjiro's journey to seek out the Demon who killed their family and turn his sister human again. A recap film of Kimetsu no Yaiba, covering episodes 1-5 with extra footage.",92.4,7.91,,105,0,2019-03-29,159,0,"['Action', 'Animation', 'Fantasy']",['ufotable']
329,177572,Big Hero 6,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",94.4,7.74,,102,657827828,2014-10-24,14650,165000000,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']","['Walt Disney Pictures', 'Walt Disney Animation Studios']"
330,335787,Uncharted,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",82.4,7.01,Fortune favors the bold.,116,407141258,2022-02-10,4967,120000000,"['Action', 'Adventure']","['Columbia Pictures', 'Atlas Entertainment', 'PlayStation Productions', 'Arad Productions']"
331,9479,The Nightmare Before Christmas,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",78.7,7.84,"This is Halloween, everybody make a scene!",76,75634409,1993-10-09,8400,24000000,"['Fantasy', 'Animation', 'Family']","['Tim Burton Productions', 'Skellington Productions Inc.', 'Touchstone Pictures', 'Walt Disney Pictures']"
