movie_id,movie_title,overview,popularity,rating,tagline,runtime,revenue,release_date,vote_count,budget,genres,production_companies
632357,The Unholy,"Alice is young hearing-impaired girl who, after a supposed visitation from the Virgin Mary, is inexplicably able to hear, speak and heal the sick. As word spreads and people from near and far flock to witness her miracles, a disgraced journalist hoping to revive his career visits the small New England town to investigate. When terrifying events begin to happen all around, he starts to question if these phenomena are the works of the Virgin Mary or something much more sinister.",40,6.67,Be careful who you pray to.,99,30833138,2021-03-31,1930,10000000,"['Horror', 'Mystery']","['Ghost House Pictures', 'Screen Gems']"
639721,The Addams Family 2,The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.,45,7.035,Unhappy to see you again.,93,119815153,2021-10-01,1123,0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror']","['Metro-Goldwyn-Mayer', 'Bron Studios', 'BermanBraun', 'Cinesite Animation', 'Nitrogen Studios Canada']"
11565,Big Momma's House 2,"FBI agent Malcolm Turner goes back undercover as Big Momma, a slick-talking, slam-dunking Southern granny with attitude to spare! Now this granny must play nanny to three dysfunctional upper class kids in order to spy on their computer hacked dad.",52,5.74,The momma of all comedies is back.,99,138259062,2006-01-26,1455,40000000,"['Comedy', 'Crime']","['Big Lou House Productions', 'Deep River Productions', 'Firm Films', 'Runteldat Entertainment', 'New Regency Pictures', 'Epsilon Motion Pictures', 'Ed Friendly Productions']"
1148969,Los (casi) ídolos de Bahía Colorada,A colorful Mexican town. Two half brothers. Romeo and Preciado meet again to honor their dad's memory in a car rally full of adrenaline and banda music.,55,7.5,,97,0,2023-07-19,25,0,"['Comedy', 'Music']",['Alebrije Producciones']
663,Saw IV,"Jigsaw and his apprentice Amanda are dead. Now, upon the news of Detective Kerry's murder, two seasoned FBI profilers, Agent Strahm and Agent Perez, arrive in the terrified community to assist the veteran Detective Hoffman in sifting through Jigsaw's latest grisly remains and piecing together the puzzle. However, when SWAT Commander Rigg is abducted and thrust into a game, the last officer untouched by Jigsaw has but ninety minutes to overcome a series of demented traps and save an old friend...or face the deadly consequences.",50,6.152,You think it is over... but the games have just begun.,93,139352633,2007-10-24,3305,10000000,"['Horror', 'Thriller', 'Crime']","['Twisted Pictures', 'Lionsgate']"
347201,BORUTO -NARUTO THE MOVIE-,"The spirited Boruto Uzumaki, son of Seventh Hokage Naruto, is a skilled ninja who possesses the same brashness and passion his father once had. However, the constant absence of his father, who is busy with his Hokage duties, puts a damper on Boruto's fire. He ends up meeting his father's friend Sasuke, and requests to become... his apprentice!? The curtain on the story of the new generation rises!",44,7.603,Forge your own path.,95,39500000,2015-08-07,1301,0,"['Animation', 'Action', 'Comedy']","['Pierrot', 'Studio Lagurus', 'Aniplex', 'Bandai Namco Entertainment', 'Bandai', 'dentsu', 'Shueisha', 'TV Tokyo', 'TOHO']"
16871,Drag Me to Hell,"After denying a woman the extension she needs to keep her home, loan officer Christine Brown sees her once-promising life take a startling turn for the worse. Christine is convinced she's been cursed by a Gypsy, but her boyfriend is skeptical. Her only hope seems to lie in a psychic who claims he can help her lift the curse and keep her soul from being dragged straight to hell.",50,6.398,"Christine Brown has a good job, a great boyfriend, and a bright future. But in three days, she's going to hell.",99,90810892,2009-03-15,3338,30000000,"['Horror', 'Thriller']","['Universal Pictures', 'Ghost House Pictures', 'Buckaroo Entertainment', 'Curse Productions', 'Mandate Pictures']"
4258,Scary Movie 5,"Home with their newly-formed family, happy parents Dan and Jody are haunted by sinister, paranormal activities. Determined to expel the insidious force, they install security cameras and discover their family is being stalked by an evil dead demon.",53,4.808,Evil is coming. Bring protection.,86,78378744,2013-04-11,2591,20000000,['Comedy'],"['Dimension Films', 'The Weinstein Company', 'Brad Grey Pictures']"
667276,Las Leyendas: El Origen,"When a human baby crosses the Eternal Mirror, the portal between the living and the death opens its path to the beings from the underworld.",43,8.252,,90,0,2021-02-15,228,0,"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']","['Ánima Estudios', 'Top Draw Animation']"
50646,"Crazy, Stupid, Love.","Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies.",49,7.257,This is crazy. This is stupid. This is love.,118,145079584,2011-07-29,7711,50000000,"['Comedy', 'Drama', 'Romance']",['Warner Bros. Pictures']
